SOLUTION
2 n070w4

ASSIGNMENTS = 326
HN_0 Tue Late HeadNurse
HN_0 Wed Late Nurse
HN_0 Thu Late HeadNurse
HN_0 Fri Late Nurse
HN_1 Mon Day Nurse
HN_1 Tue Day HeadNurse
HN_1 Fri Early Nurse
HN_1 Sat Early Nurse
HN_1 Sun Late Nurse
HN_2 Wed Late HeadNurse
HN_2 Thu Late HeadNurse
HN_2 Fri Late HeadNurse
HN_2 Sat Late HeadNurse
HN_2 Sun Late HeadNurse
HN_3 Mon Early Nurse
HN_3 Tue Early Nurse
HN_4 Wed Night Nurse
HN_4 Thu Night HeadNurse
HN_4 Fri Night HeadNurse
HN_4 Sat Night HeadNurse
HN_4 Sun Night HeadNurse
HN_5 Mon Night Nurse
HN_5 Tue Night Nurse
HN_5 Wed Night Nurse
HN_5 Thu Night HeadNurse
HN_6 Mon Late HeadNurse
HN_6 Wed Day HeadNurse
HN_6 Thu Day HeadNurse
HN_6 Fri Day Nurse
HN_7 Mon Late HeadNurse
HN_7 Tue Late Nurse
HN_7 Wed Late Nurse
HN_7 Sat Early HeadNurse
HN_7 Sun Early HeadNurse
NU_8 Mon Late Nurse
NU_8 Tue Late Nurse
NU_8 Wed Late Caretaker
NU_8 Thu Late Nurse
NU_8 Fri Late Caretaker
NU_9 Mon Day Nurse
NU_9 Tue Day Caretaker
NU_9 Wed Day Caretaker
NU_9 Thu Late Caretaker
NU_9 Fri Late Nurse
NU_10 Mon Late Caretaker
NU_10 Tue Late Nurse
NU_10 Wed Night Nurse
NU_10 Thu Night Caretaker
NU_10 Fri Night Caretaker
NU_11 Mon Early Nurse
NU_11 Tue Early Nurse
NU_11 Wed Early Caretaker
NU_11 Thu Early Caretaker
NU_11 Fri Late Caretaker
NU_12 Mon Night Caretaker
NU_12 Tue Night Nurse
NU_12 Fri Night Nurse
NU_12 Sun Day Caretaker
NU_13 Fri Day Caretaker
NU_13 Sat Early Nurse
NU_13 Sun Early Caretaker
NU_14 Tue Day Caretaker
NU_14 Wed Late Caretaker
NU_14 Thu Night Nurse
NU_14 Sun Late Caretaker
NU_15 Wed Early Caretaker
NU_15 Thu Late Caretaker
NU_15 Fri Late Caretaker
NU_15 Sat Late Nurse
NU_16 Tue Early Caretaker
NU_16 Wed Day Nurse
NU_16 Thu Night Caretaker
NU_16 Fri Night Caretaker
NU_16 Sun Day Caretaker
NU_17 Thu Day Nurse
NU_17 Fri Early Nurse
NU_17 Sat Day Nurse
NU_17 Sun Night Nurse
NU_18 Mon Late Nurse
NU_18 Wed Early Nurse
NU_18 Thu Night Caretaker
NU_18 Fri Night Nurse
NU_19 Tue Day Caretaker
NU_19 Wed Day Nurse
NU_19 Fri Early Nurse
NU_19 Sat Day Nurse
NU_19 Sun Early Caretaker
NU_20 Mon Day Caretaker
NU_20 Tue Late Caretaker
NU_20 Wed Night Caretaker
NU_20 Thu Night Nurse
NU_20 Fri Night Caretaker
NU_20 Sun Late Nurse
NU_21 Mon Night Caretaker
NU_21 Thu Late Nurse
NU_21 Fri Late Nurse
NU_21 Sat Late Nurse
NU_22 Mon Night Nurse
NU_22 Tue Night Nurse
NU_22 Wed Night Caretaker
NU_22 Sat Early Nurse
NU_23 Tue Day Caretaker
NU_23 Wed Day Nurse
NU_23 Thu Early Caretaker
NU_23 Fri Early Caretaker
NU_24 Mon Day Caretaker
NU_24 Tue Day Caretaker
NU_24 Wed Day Caretaker
NU_24 Thu Day Nurse
NU_24 Fri Night Caretaker
NU_24 Sun Early Caretaker
NU_25 Mon Early Caretaker
NU_25 Tue Early Nurse
NU_25 Wed Day Caretaker
NU_25 Thu Day Nurse
NU_25 Fri Day Caretaker
NU_25 Sat Day Nurse
NU_26 Mon Late Caretaker
NU_26 Tue Late Caretaker
NU_26 Sat Day Nurse
NU_27 Mon Early Caretaker
NU_27 Tue Night Caretaker
NU_27 Thu Late Caretaker
NU_27 Fri Late Nurse
NU_28 Mon Late Nurse
NU_28 Wed Early Nurse
NU_28 Thu Early Caretaker
NU_29 Mon Early Nurse
NU_29 Tue Day Nurse
NU_29 Wed Early Nurse
NU_29 Thu Early Caretaker
NU_29 Fri Day Nurse
NU_29 Sat Day Nurse
NU_29 Sun Early Caretaker
NU_30 Wed Day Caretaker
