SOLUTION
0 n035w4

ASSIGNMENTS = 142
HN_0 Wed Day Caretaker
HN_0 Thu Day HeadNurse
HN_0 Fri Day Nurse
HN_1 Mon Late Nurse
HN_1 Tue Late HeadNurse
HN_1 Fri Late Caretaker
HN_1 Sat Late HeadNurse
HN_1 Sun Late Nurse
HN_2 Mon Late Caretaker
HN_2 Tue Late Caretaker
HN_2 Wed Night Nurse
HN_3 Mon Night Caretaker
HN_3 Tue Night Caretaker
HN_3 Wed Night HeadNurse
HN_3 Thu Night Nurse
HN_3 Fri Night HeadNurse
HN_4 Wed Night HeadNurse
HN_4 Thu Night Nurse
HN_4 Fri Night Nurse
HN_4 Sat Night Nurse
HN_4 Sun Night Nurse
HN_5 Mon Night HeadNurse
HN_5 Tue Night Nurse
HN_5 Fri Early Nurse
HN_5 Sat Early Nurse
HN_5 Sun Early Nurse
NU_6 Mon Day Nurse
NU_6 Tue Day Nurse
NU_6 Fri Night Nurse
NU_6 Sat Night Caretaker
NU_6 Sun Night Nurse
NU_7 Mon Early Nurse
NU_7 Tue Early Nurse
NU_7 Wed Early Caretaker
NU_7 Sun Day Nurse
NU_8 Wed Early Nurse
NU_8 Thu Early Nurse
NU_8 Fri Early Caretaker
NU_9 Mon Night Nurse
NU_9 Tue Night Nurse
NU_9 Fri Late Caretaker
NU_9 Sat Late Nurse
NU_9 Sun Night Nurse
NU_10 Tue Late Nurse
NU_10 Wed Late Caretaker
NU_10 Thu Late Nurse
NU_10 Fri Late Nurse
NU_11 Wed Early Caretaker
NU_11 Thu Early Caretaker
NU_11 Fri Early Nurse
NU_12 Wed Day Caretaker
NU_12 Thu Day Caretaker
NU_13 Thu Day Nurse
NU_13 Fri Day Caretaker
NU_13 Sat Day Nurse
NU_13 Sun Early Nurse
NU_14 Mon Early Caretaker
NU_14 Tue Early Nurse
NU_14 Wed Day Nurse
NU_14 Thu Day Caretaker
NU_15 Mon Late Caretaker
NU_15 Tue Late Nurse
NU_15 Wed Late Nurse
NU_15 Sat Early Nurse
NU_15 Sun Early Caretaker
NU_16 Tue Night Caretaker
NU_16 Wed Night Nurse
NU_16 Thu Night Caretaker
NU_16 Fri Night Caretaker
CT_17 Mon Early Caretaker
CT_17 Fri Late Caretaker
CT_17 Sat Late Caretaker
CT_17 Sun Late Caretaker
CT_18 Mon Late Caretaker
CT_18 Tue Late Caretaker
CT_18 Wed Late Caretaker
CT_18 Thu Late Caretaker
CT_18 Fri Late Caretaker
CT_19 Tue Night Caretaker
CT_19 Wed Night Caretaker
CT_19 Thu Night Caretaker
CT_19 Fri Night Caretaker
CT_20 Mon Night Caretaker
CT_20 Thu Early Caretaker
CT_20 Fri Early Caretaker
CT_20 Sat Early Caretaker
CT_20 Sun Early Caretaker
CT_21 Mon Early Caretaker
CT_21 Tue Early Caretaker
CT_21 Fri Day Caretaker
CT_21 Sat Day Caretaker
CT_21 Sun Early Caretaker
CT_22 Tue Late Caretaker
CT_22 Wed Late Caretaker
CT_22 Thu Late Caretaker
CT_23 Mon Day Caretaker
CT_23 Fri Late Caretaker
CT_23 Sat Late Caretaker
CT_23 Sun Late Caretaker
CT_24 Wed Late Caretaker
CT_24 Thu Late Caretaker
CT_24 Fri Late Caretaker
CT_25 Mon Night Caretaker
CT_25 Thu Day Caretaker
CT_25 Fri Day Caretaker
CT_25 Sat Day Caretaker
CT_25 Sun Day Caretaker
CT_26 Mon Day Caretaker
CT_26 Tue Day Caretaker
CT_26 Wed Day Caretaker
CT_27 Mon Day Caretaker
CT_27 Tue Day Caretaker
CT_27 Wed Early Caretaker
CT_27 Thu Early Caretaker
CT_28 Tue Night Caretaker
CT_28 Wed Night Caretaker
CT_28 Thu Night Caretaker
CT_28 Fri Night Caretaker
TR_29 Thu Early Trainee
TR_29 Fri Early Trainee
TR_29 Sat Early Trainee
TR_29 Sun Day Trainee
TR_30 Mon Late Trainee
TR_30 Tue Late Trainee
TR_30 Fri Late Trainee
TR_30 Sat Late Trainee
TR_30 Sun Late Trainee
TR_31 Mon Night Trainee
TR_31 Tue Night Trainee
TR_31 Wed Night Trainee
TR_31 Thu Night Trainee
TR_32 Wed Early Trainee
TR_32 Thu Early Trainee
TR_32 Fri Night Trainee
TR_32 Sat Night Trainee
TR_32 Sun Night Trainee
TR_33 Mon Early Trainee
TR_33 Tue Early Trainee
TR_33 Wed Day Trainee
TR_34 Mon Day Trainee
TR_34 Tue Late Trainee
TR_34 Wed Late Trainee

