SOLUTION
0 n110w8

ASSIGNMENTS = 396
HN_0 Mon Day HeadNurse
HN_0 Tue Day Nurse
HN_0 Wed Day HeadNurse
HN_0 Sat Late Nurse
HN_0 Sun Late Nurse
HN_1 Mon Early Nurse
HN_1 Tue Early Nurse
HN_1 Wed Early Nurse
HN_1 Thu Day Nurse
HN_1 Fri Day Nurse
HN_2 Mon Night HeadNurse
HN_2 Tue Night HeadNurse
HN_2 Wed Night HeadNurse
HN_2 Sat Night Nurse
HN_2 Sun Night HeadNurse
HN_3 Mon Late HeadNurse
HN_3 Tue Late Nurse
HN_3 Wed Late HeadNurse
HN_3 Sat Late HeadNurse
HN_3 Sun Late HeadNurse
HN_4 Mon Day Nurse
HN_4 Wed Late HeadNurse
HN_4 Thu Late Nurse
HN_4 Fri Late HeadNurse
HN_5 Mon Night Nurse
HN_5 Tue Night HeadNurse
HN_5 Wed Night HeadNurse
HN_5 Thu Night Nurse
HN_5 Fri Night HeadNurse
HN_6 Thu Late HeadNurse
HN_6 Fri Late HeadNurse
HN_7 Thu Day Nurse
HN_7 Fri Day Nurse
HN_8 Mon Day Nurse
HN_8 Tue Day HeadNurse
HN_9 Thu Day HeadNurse
HN_9 Fri Day HeadNurse
HN_10 Mon Late HeadNurse
HN_10 Tue Late HeadNurse
HN_10 Wed Late HeadNurse
HN_10 Fri Night Nurse
HN_10 Sat Night Nurse
HN_10 Sun Night Nurse
HN_11 Thu Night Nurse
HN_11 Fri Night HeadNurse
HN_11 Sat Night Nurse
HN_11 Sun Night Nurse
HN_12 Tue Night HeadNurse
HN_12 Wed Night HeadNurse
HN_12 Thu Night Nurse
HN_12 Fri Night HeadNurse
HN_13 Wed Early HeadNurse
HN_13 Thu Early HeadNurse
HN_13 Fri Early Nurse
HN_14 Sat Early HeadNurse
HN_14 Sun Early Nurse
HN_15 Tue Day HeadNurse
HN_15 Wed Day Nurse
HN_16 Mon Late Nurse
HN_16 Tue Late Nurse
HN_16 Fri Early HeadNurse
HN_16 Sat Early HeadNurse
HN_16 Sun Early HeadNurse
HN_17 Tue Early HeadNurse
HN_17 Wed Early HeadNurse
HN_17 Thu Early HeadNurse
HN_17 Fri Early HeadNurse
HN_18 Mon Early Nurse
HN_19 Mon Early HeadNurse
HN_19 Tue Early HeadNurse
HN_19 Wed Early HeadNurse
HN_19 Thu Day HeadNurse
HN_19 Fri Day HeadNurse
NU_20 Tue Late Caretaker
NU_20 Wed Late Caretaker
NU_21 Mon Early Nurse
NU_21 Tue Early Nurse
NU_21 Wed Day Nurse
NU_21 Thu Day Caretaker
NU_21 Fri Day Nurse
NU_22 Wed Early Nurse
NU_22 Thu Early Caretaker
NU_22 Fri Late Caretaker
NU_22 Sat Late Nurse
NU_22 Sun Late Nurse
NU_23 Mon Day Caretaker
NU_23 Tue Day Caretaker
NU_23 Wed Early Nurse
NU_23 Thu Early Nurse
NU_24 Tue Day Nurse
NU_24 Wed Day Nurse
NU_25 Mon Day Caretaker
NU_25 Tue Day Caretaker
NU_25 Wed Early Nurse
NU_25 Thu Early Caretaker
NU_25 Fri Early Caretaker
NU_26 Mon Late Nurse
NU_26 Tue Late Caretaker
NU_26 Wed Late Caretaker
NU_26 Thu Late Caretaker
NU_27 Mon Night Caretaker
NU_27 Thu Day Caretaker
NU_27 Fri Day Caretaker
NU_27 Sat Day Nurse
NU_27 Sun Day Nurse
NU_28 Mon Night Nurse
NU_28 Tue Night Nurse
NU_28 Wed Night Nurse
NU_28 Thu Night Caretaker
NU_28 Fri Night Nurse
NU_29 Wed Late Nurse
NU_29 Thu Late Nurse
NU_29 Fri Late Nurse
NU_30 Wed Late Caretaker
NU_30 Thu Late Caretaker
NU_30 Fri Late Nurse
NU_31 Thu Late Caretaker
NU_31 Fri Late Caretaker
NU_32 Wed Late Caretaker
NU_32 Thu Late Caretaker
NU_33 Mon Late Caretaker
NU_33 Thu Night Nurse
NU_33 Fri Night Caretaker
NU_33 Sat Night Caretaker
NU_33 Sun Night Caretaker
NU_34 Mon Night Nurse
NU_34 Tue Night Nurse
NU_35 Thu Early Caretaker
NU_35 Fri Early Nurse
NU_35 Sat Early Nurse
NU_35 Sun Early Nurse
NU_36 Wed Night Nurse
NU_36 Thu Night Caretaker
NU_37 Mon Night Nurse
NU_37 Tue Night Caretaker
NU_37 Fri Late Nurse
NU_37 Sat Late Nurse
NU_37 Sun Late Nurse
NU_38 Mon Night Caretaker
NU_38 Sat Early Nurse
NU_38 Sun Early Caretaker
NU_39 Mon Day Caretaker
NU_39 Fri Day Caretaker
NU_39 Sat Day Nurse
NU_39 Sun Day Nurse
CT_40 Mon Day Caretaker
CT_41 Mon Early Caretaker
CT_41 Tue Early Caretaker
CT_41 Wed Early Caretaker
CT_41 Thu Early Caretaker
CT_42 Mon Night Caretaker
CT_42 Tue Night Caretaker
CT_42 Wed Night Caretaker
CT_42 Sat Early Caretaker
