SOLUTION
4 n035w8

ASSIGNMENTS = 172
HN_0 Mon Night Nurse
HN_0 Wed Night HeadNurse
HN_0 Fri Early HeadNurse
HN_0 Sat Day HeadNurse
HN_0 Sun Early Nurse
HN_1 Mon Early Caretaker
HN_1 Tue Late HeadNurse
HN_1 Fri Early Nurse
HN_1 Sun Day Caretaker
HN_2 Tue Day HeadNurse
HN_2 Wed Early Nurse
HN_2 Thu Night HeadNurse
HN_2 Fri Night HeadNurse
HN_2 Sat Night Nurse
HN_3 Tue Early HeadNurse
HN_3 Wed Early HeadNurse
HN_3 Thu Early Nurse
HN_3 Sat Night HeadNurse
HN_3 Sun Night Nurse
HN_4 Mon Early HeadNurse
HN_4 Wed Early HeadNurse
HN_4 Fri Day Caretaker
HN_4 Sat Day Nurse
HN_4 Sun Day HeadNurse
HN_5 Mon Day Nurse
HN_5 Tue Night HeadNurse
HN_5 Fri Early Caretaker
HN_5 Sat Late Nurse
NU_6 Tue Early Nurse
NU_6 Wed Day Nurse
NU_6 Sat Early Caretaker
NU_7 Mon Day Nurse
NU_7 Tue Day Caretaker
NU_7 Wed Late Caretaker
NU_7 Thu Late Nurse
NU_7 Fri Night Nurse
NU_8 Mon Early Nurse
NU_8 Tue Day Nurse
NU_8 Wed Night Nurse
NU_8 Sat Early Nurse
NU_8 Sun Early Nurse
NU_9 Mon Late Caretaker
NU_9 Tue Late Nurse
NU_9 Wed Night Caretaker
NU_9 Thu Night Nurse
NU_10 Tue Early Caretaker
NU_10 Wed Day Nurse
NU_10 Thu Day Nurse
NU_10 Sat Day Nurse
NU_10 Sun Early Caretaker
NU_11 Tue Late Nurse
NU_11 Wed Late Nurse
NU_11 Thu Late Nurse
NU_11 Fri Late Nurse
NU_11 Sat Late Nurse
NU_11 Sun Late Nurse
NU_12 Mon Day Nurse
NU_12 Thu Day Nurse
NU_12 Fri Day Nurse
NU_12 Sat Night Caretaker
NU_12 Sun Night Caretaker
NU_13 Tue Early Nurse
NU_13 Fri Early Caretaker
NU_13 Sat Day Nurse
NU_13 Sun Day Nurse
NU_14 Mon Day Caretaker
NU_14 Tue Night Nurse
NU_14 Wed Night Caretaker
NU_14 Thu Night Caretaker
NU_14 Fri Night Caretaker
NU_14 Sat Night Nurse
NU_15 Mon Day Nurse
NU_15 Tue Early Caretaker
NU_15 Wed Early Nurse
NU_15 Thu Early Nurse
NU_15 Sat Late Nurse
NU_15 Sun Night Caretaker
NU_16 Mon Late Nurse
NU_16 Thu Early Caretaker
NU_16 Fri Day Caretaker
NU_16 Sat Early Caretaker
NU_16 Sun Early Caretaker
CT_17 Mon Night Caretaker
CT_17 Tue Night Caretaker
CT_17 Fri Early Caretaker
CT_17 Sat Day Caretaker
CT_17 Sun Late Caretaker
CT_18 Mon Early Caretaker
CT_18 Tue Night Caretaker
CT_18 Thu Early Caretaker
CT_18 Fri Night Caretaker
CT_18 Sat Night Caretaker
CT_19 Mon Early Caretaker
CT_19 Tue Early Caretaker
CT_19 Wed Day Caretaker
CT_19 Thu Late Caretaker
CT_19 Sun Day Caretaker
CT_20 Mon Early Caretaker
CT_20 Tue Day Caretaker
CT_20 Wed Night Caretaker
CT_20 Thu Night Caretaker
CT_20 Sun Early Caretaker
CT_21 Mon Late Caretaker
CT_21 Tue Late Caretaker
CT_21 Wed Late Caretaker
CT_21 Thu Night Caretaker
CT_21 Sun Late Caretaker
CT_22 Mon Early Caretaker
CT_22 Tue Late Caretaker
CT_22 Thu Early Caretaker
CT_22 Fri Day Caretaker
CT_23 Mon Night Caretaker
CT_23 Thu Day Caretaker
CT_23 Fri Early Caretaker
CT_23 Sat Night Caretaker
CT_24 Mon Night Caretaker
CT_24 Tue Night Caretaker
CT_24 Thu Day Caretaker
CT_24 Fri Late Caretaker
CT_24 Sun Late Caretaker
CT_25 Tue Early Caretaker
CT_25 Wed Early Caretaker
CT_25 Sat Day Caretaker
CT_25 Sun Early Caretaker
CT_26 Mon Day Caretaker
CT_26 Tue Night Caretaker
CT_26 Thu Early Caretaker
CT_26 Fri Early Caretaker
CT_26 Sat Day Caretaker
CT_26 Sun Late Caretaker
CT_27 Mon Early Caretaker
CT_27 Tue Early Caretaker
CT_27 Wed Early Caretaker
CT_27 Thu Day Caretaker
CT_27 Fri Early Caretaker
CT_27 Sat Night Caretaker
CT_28 Tue Early Caretaker
CT_28 Wed Early Caretaker
CT_28 Thu Late Caretaker
CT_28 Fri Late Caretaker
CT_28 Sat Late Caretaker
CT_28 Sun Night Caretaker
TR_29 Mon Early Trainee
TR_29 Tue Night Trainee
TR_29 Wed Night Trainee
TR_29 Thu Night Trainee
TR_29 Sat Day Trainee
TR_29 Sun Early Trainee
TR_30 Tue Early Trainee
TR_30 Wed Early Trainee
TR_30 Thu Late Trainee
TR_30 Fri Late Trainee
TR_30 Sat Late Trainee
TR_31 Tue Early Trainee
TR_31 Wed Early Trainee
TR_31 Thu Day Trainee
TR_32 Mon Late Trainee
TR_32 Wed Early Trainee
TR_32 Thu Early Trainee
TR_32 Fri Early Trainee
TR_32 Sat Early Trainee
TR_32 Sun Late Trainee
TR_33 Mon Night Trainee
TR_33 Wed Late Trainee
TR_33 Thu Night Trainee
TR_33 Fri Night Trainee
TR_33 Sun Early Trainee
TR_34 Tue Late Trainee
TR_34 Wed Late Trainee
TR_34 Fri Day Trainee
TR_34 Sat Day Trainee
TR_34 Sun Night Trainee

