SOLUTION
5 n110w8

ASSIGNMENTS = 381
HN_0 Mon Early HeadNurse
HN_0 Thu Day Nurse
HN_0 Fri Day Nurse
HN_0 Sat Early Nurse
HN_0 Sun Early HeadNurse
HN_1 Tue Early HeadNurse
HN_1 Wed Early HeadNurse
HN_1 Thu Early Nurse
HN_1 Fri Early HeadNurse
HN_2 Sat Early HeadNurse
HN_2 Sun Early Nurse
HN_3 Mon Night HeadNurse
HN_3 Tue Night HeadNurse
HN_3 Wed Night HeadNurse
HN_3 Fri Day Nurse
HN_3 Sat Day Nurse
HN_3 Sun Day Nurse
HN_4 Mon Day HeadNurse
HN_4 Tue Day HeadNurse
HN_4 Wed Night HeadNurse
HN_4 Thu Night Nurse
HN_4 Fri Night Nurse
HN_5 Wed Day HeadNurse
HN_5 Thu Day HeadNurse
HN_5 Fri Day HeadNurse
HN_6 Wed Early Nurse
HN_6 Thu Early HeadNurse
HN_7 Mon Day HeadNurse
HN_7 Tue Day Nurse
HN_7 Wed Late Nurse
HN_7 Thu Late Nurse
HN_7 Fri Late HeadNurse
HN_8 Thu Late HeadNurse
HN_8 Fri Late HeadNurse
HN_9 Tue Late Nurse
HN_9 Wed Late HeadNurse
HN_10 Mon Late HeadNurse
HN_10 Tue Night Nurse
HN_10 Wed Night Nurse
HN_10 Thu Night Nurse
HN_10 Fri Night HeadNurse
HN_11 Mon Late HeadNurse
HN_11 Tue Late HeadNurse
HN_11 Wed Late HeadNurse
HN_11 Sat Night Nurse
HN_11 Sun Night Nurse
HN_12 Wed Day Nurse
HN_12 Thu Day HeadNurse
HN_12 Fri Day HeadNurse
HN_13 Mon Day Nurse
HN_13 Tue Day HeadNurse
HN_13 Wed Day Nurse
HN_13 Sat Day Nurse
HN_13 Sun Day Nurse
HN_14 Mon Early HeadNurse
HN_14 Tue Early Nurse
HN_14 Sat Night Nurse
HN_14 Sun Night HeadNurse
HN_15 Mon Night Nurse
HN_16 Tue Night Nurse
HN_16 Wed Night Nurse
HN_16 Thu Night HeadNurse
