SOLUTION
1 n035w4

ASSIGNMENTS = 134
HN_0 Fri Early Nurse
HN_0 Sat Early HeadNurse
HN_0 Sun Night HeadNurse
HN_1 Wed Late HeadNurse
HN_1 Thu Late Caretaker
HN_1 Fri Late Caretaker
HN_2 Mon Late Caretaker
HN_2 Tue Late Caretaker
HN_2 Fri Late Nurse
HN_2 Sat Late Nurse
HN_2 Sun Late Nurse
HN_3 Mon Day Caretaker
HN_3 Tue Day HeadNurse
HN_3 Wed Early Nurse
HN_3 Thu Early Nurse
HN_3 Fri Night HeadNurse
HN_4 Sat Late Caretaker
HN_4 Sun Late Caretaker
HN_5 Mon Early Caretaker
HN_5 Tue Early Caretaker
NU_6 Thu Day Caretaker
NU_6 Fri Day Nurse
NU_7 Mon Day Nurse
NU_7 Tue Day Nurse
NU_7 Wed Day Nurse
NU_7 Thu Day Caretaker
NU_8 Mon Night Nurse
NU_8 Tue Night Caretaker
NU_8 Wed Night Nurse
NU_8 Thu Night Nurse
NU_8 Fri Night Nurse
NU_9 Mon Night Caretaker
NU_9 Tue Night Nurse
NU_9 Thu Day Nurse
NU_9 Fri Day Caretaker
NU_9 Sat Day Nurse
NU_9 Sun Day Nurse
NU_10 Mon Night Caretaker
NU_10 Tue Night Caretaker
NU_10 Wed Night Caretaker
NU_10 Thu Night Caretaker
NU_10 Fri Night Nurse
NU_11 Mon Late Nurse
NU_11 Tue Late Nurse
NU_11 Sat Early Nurse
NU_11 Sun Early Nurse
NU_12 Tue Early Nurse
NU_12 Wed Early Nurse
NU_12 Thu Late Caretaker
NU_13 Mon Early Nurse
NU_14 Mon Day Nurse
NU_14 Tue Day Caretaker
NU_14 Wed Late Caretaker
NU_14 Fri Day Nurse
NU_14 Sat Night Nurse
NU_14 Sun Night Nurse
NU_15 Mon Early Nurse
NU_15 Tue Late Nurse
NU_16 Mon Day Caretaker
NU_16 Tue Day Caretaker
NU_16 Wed Late Nurse
NU_16 Thu Late Nurse
NU_16 Fri Late Nurse
CT_17 Mon Late Caretaker
CT_17 Tue Late Caretaker
CT_17 Thu Day Caretaker
CT_17 Fri Late Caretaker
CT_17 Sat Late Caretaker
CT_17 Sun Night Caretaker
CT_18 Mon Day Caretaker
CT_18 Tue Day Caretaker
CT_18 Wed Early Caretaker
CT_18 Thu Early Caretaker
CT_18 Fri Late Caretaker
CT_19 Mon Night Caretaker
CT_19 Tue Night Caretaker
CT_19 Wed Night Caretaker
CT_19 Thu Night Caretaker
CT_19 Fri Night Caretaker
CT_20 Wed Day Caretaker
CT_20 Thu Day Caretaker
CT_20 Fri Night Caretaker
CT_21 Mon Early Caretaker
CT_21 Tue Early Caretaker
CT_22 Thu Early Caretaker
CT_22 Fri Early Caretaker
CT_22 Sat Early Caretaker
CT_22 Sun Early Caretaker
CT_23 Wed Late Caretaker
CT_23 Thu Late Caretaker
CT_23 Fri Late Caretaker
CT_24 Mon Late Caretaker
CT_24 Tue Late Caretaker
CT_24 Wed Late Caretaker
CT_24 Thu Late Caretaker
CT_24 Fri Night Caretaker
CT_25 Wed Early Caretaker
CT_25 Thu Early Caretaker
CT_25 Fri Early Caretaker
CT_26 Tue Day Caretaker
CT_26 Wed Day Caretaker
CT_26 Thu Day Caretaker
CT_26 Fri Day Caretaker
CT_27 Mon Night Caretaker
CT_27 Tue Night Caretaker
CT_27 Wed Night Caretaker
CT_27 Thu Night Caretaker
CT_28 Mon Early Caretaker
CT_28 Tue Early Caretaker
CT_28 Sat Day Caretaker
CT_28 Sun Day Caretaker
TR_29 Mon Day Trainee
TR_30 Mon Late Trainee
TR_30 Thu Day Trainee
TR_30 Fri Day Trainee
TR_31 Mon Day Trainee
TR_31 Tue Day Trainee
TR_31 Wed Late Trainee
TR_31 Sat Early Trainee
TR_31 Sun Early Trainee
TR_32 Wed Day Trainee
TR_32 Thu Day Trainee
TR_32 Fri Night Trainee
TR_32 Sat Night Trainee
TR_32 Sun Night Trainee
TR_33 Mon Night Trainee
TR_33 Tue Night Trainee
TR_33 Wed Night Trainee
TR_33 Thu Night Trainee
TR_34 Mon Early Trainee
TR_34 Tue Early Trainee
TR_34 Wed Early Trainee
TR_34 Thu Late Trainee
TR_34 Fri Late Trainee

