SOLUTION
3 n110w4

ASSIGNMENTS = 389
HN_0 Mon Night Nurse
HN_0 Tue Night Nurse
HN_0 Wed Night HeadNurse
HN_0 Thu Night Nurse
HN_0 Fri Night HeadNurse
HN_1 Tue Late Nurse
HN_1 Wed Late HeadNurse
HN_2 Mon Early HeadNurse
HN_2 Tue Early HeadNurse
HN_3 Mon Late HeadNurse
HN_3 Tue Late Nurse
HN_3 Wed Late Nurse
HN_3 Thu Late HeadNurse
HN_3 Fri Late Nurse
HN_4 Mon Early HeadNurse
HN_4 Tue Early Nurse
HN_4 Wed Day Nurse
HN_4 Thu Day HeadNurse
HN_4 Fri Day Nurse
HN_5 Mon Day Nurse
HN_5 Fri Day HeadNurse
HN_5 Sat Day HeadNurse
HN_5 Sun Day HeadNurse
HN_6 Mon Early Nurse
HN_6 Tue Late HeadNurse
HN_6 Wed Late Nurse
HN_7 Tue Night Nurse
HN_7 Wed Night Nurse
HN_7 Thu Night HeadNurse
HN_7 Fri Night HeadNurse
HN_8 Wed Early HeadNurse
HN_8 Thu Early HeadNurse
HN_8 Fri Early HeadNurse
HN_8 Sat Early Nurse
HN_8 Sun Early Nurse
HN_10 Mon Night HeadNurse
HN_10 Tue Night HeadNurse
HN_10 Wed Night Nurse
HN_10 Thu Night Nurse
HN_10 Fri Night Nurse
HN_11 Thu Day HeadNurse
HN_11 Fri Day HeadNurse
HN_12 Wed Late HeadNurse
HN_12 Thu Late Nurse
HN_12 Fri Late Nurse
HN_13 Tue Day Nurse
HN_13 Wed Day HeadNurse
HN_13 Thu Late Nurse
HN_13 Fri Late Nurse
HN_14 Mon Day HeadNurse
HN_15 Fri Night Nurse
HN_15 Sat Night HeadNurse
HN_15 Sun Night HeadNurse
HN_16 Mon Night HeadNurse
HN_16 Thu Late HeadNurse
HN_16 Fri Late HeadNurse
HN_16 Sat Late Nurse
HN_16 Sun Late HeadNurse
HN_17 Mon Late HeadNurse
HN_17 Tue Late HeadNurse
HN_17 Wed Late Nurse
HN_18 Mon Night Nurse
HN_18 Tue Night HeadNurse
HN_18 Fri Late HeadNurse
HN_18 Sat Late Nurse
HN_18 Sun Night HeadNurse
HN_19 Mon Day Nurse
HN_19 Fri Day Nurse
HN_19 Sat Day Nurse
HN_19 Sun Day Nurse
NU_20 Mon Late Nurse
NU_20 Tue Late Nurse
NU_20 Wed Late Caretaker
NU_20 Thu Late Caretaker
NU_21 Mon Day Caretaker
NU_21 Tue Day Caretaker
NU_21 Wed Day Nurse
NU_21 Thu Early Nurse
NU_21 Fri Early Nurse
NU_22 Mon Early Nurse
NU_22 Tue Early Nurse
NU_22 Wed Early Nurse
NU_22 Thu Day Caretaker
NU_22 Fri Day Caretaker
NU_23 Mon Day Nurse
NU_23 Tue Day Caretaker
NU_23 Wed Day Caretaker
NU_23 Thu Day Caretaker
NU_24 Tue Day Caretaker
NU_24 Wed Day Nurse
NU_24 Thu Day Caretaker
NU_25 Wed Late Caretaker
NU_25 Thu Late Nurse
NU_25 Fri Late Caretaker
NU_25 Sat Night Nurse
NU_25 Sun Night Caretaker
NU_26 Thu Early Nurse
NU_26 Fri Early Nurse
NU_27 Mon Day Nurse
NU_27 Tue Day Nurse
NU_28 Tue Late Caretaker
NU_28 Wed Late Nurse
NU_28 Thu Late Nurse
NU_28 Fri Late Caretaker
NU_29 Mon Early Nurse
NU_29 Tue Early Nurse
NU_29 Wed Early Nurse
NU_29 Thu Day Nurse
NU_29 Fri Day Nurse
NU_30 Fri Night Caretaker
NU_30 Sat Night Caretaker
NU_30 Sun Night Nurse
NU_31 Fri Late Nurse
NU_31 Sat Late Caretaker
NU_31 Sun Late Nurse
NU_32 Mon Night Caretaker
NU_32 Thu Early Nurse
NU_32 Fri Early Caretaker
