SOLUTION
0 n070w8

ASSIGNMENTS = 268
HN_0 Mon Late HeadNurse
HN_0 Tue Late Nurse
HN_0 Sat Day Nurse
HN_0 Sun Day HeadNurse
HN_1 Mon Night Nurse
HN_1 Tue Night Nurse
HN_1 Wed Night HeadNurse
HN_1 Thu Night HeadNurse
HN_1 Sun Night HeadNurse
HN_2 Mon Late Nurse
HN_2 Tue Late HeadNurse
HN_2 Wed Late HeadNurse
HN_3 Wed Early HeadNurse
HN_3 Thu Early Nurse
HN_3 Fri Early HeadNurse
HN_4 Wed Day Nurse
HN_4 Thu Day HeadNurse
HN_4 Fri Day HeadNurse
HN_5 Mon Day HeadNurse
HN_5 Tue Day HeadNurse
HN_5 Wed Day HeadNurse
HN_5 Thu Early Nurse
HN_5 Fri Early Nurse
HN_6 Thu Day Nurse
HN_6 Fri Day Nurse
HN_6 Sat Late HeadNurse
HN_6 Sun Late HeadNurse
HN_7 Mon Night HeadNurse
HN_7 Tue Night Nurse
NU_8 Mon Day Caretaker
NU_8 Tue Day Caretaker
NU_8 Wed Day Caretaker
NU_8 Sat Late Nurse
NU_8 Sun Late Nurse
NU_9 Mon Day Nurse
NU_9 Tue Day Caretaker
NU_9 Wed Day Caretaker
NU_10 Mon Early Caretaker
NU_10 Tue Early Nurse
NU_10 Wed Early Caretaker
NU_11 Mon Night Nurse
NU_11 Tue Night Caretaker
NU_11 Wed Night Caretaker
NU_11 Thu Night Nurse
NU_12 Fri Early Nurse
NU_12 Sat Early Caretaker
NU_12 Sun Early Nurse
NU_13 Mon Day Caretaker
NU_13 Tue Day Caretaker
NU_13 Wed Day Nurse
NU_13 Thu Day Caretaker
NU_14 Mon Late Caretaker
NU_14 Tue Late Nurse
NU_14 Wed Late Nurse
NU_15 Thu Night Nurse
NU_15 Fri Night Nurse
NU_15 Sat Night Nurse
NU_15 Sun Night Caretaker
NU_16 Mon Day Nurse
NU_16 Tue Day Nurse
NU_16 Wed Day Caretaker
NU_17 Sat Late Nurse
NU_17 Sun Late Caretaker
NU_18 Mon Day Caretaker
NU_18 Tue Day Caretaker
NU_18 Wed Day Nurse
NU_18 Thu Day Nurse
NU_18 Fri Day Caretaker
NU_19 Mon Night Nurse
NU_19 Thu Day Nurse
NU_19 Fri Day Nurse
NU_19 Sat Day Caretaker
NU_19 Sun Day Nurse
NU_20 Fri Late Caretaker
NU_20 Sat Late Caretaker
NU_20 Sun Late Nurse
NU_21 Wed Late Nurse
NU_21 Thu Late Caretaker
NU_21 Fri Late Nurse
NU_22 Tue Late Caretaker
