SOLUTION
2 n110w4

ASSIGNMENTS = 376
HN_0 Tue Early HeadNurse
HN_0 Wed Early HeadNurse
HN_0 Thu Early Nurse
HN_0 Fri Early HeadNurse
HN_1 Mon Late Nurse
HN_1 Tue Late Nurse
HN_1 Sun Early HeadNurse
HN_2 Mon Late HeadNurse
HN_2 Tue Late Nurse
HN_3 Mon Early HeadNurse
HN_3 Thu Late Nurse
HN_3 Fri Late HeadNurse
HN_4 Wed Early HeadNurse
HN_4 Thu Early HeadNurse
HN_4 Fri Early HeadNurse
HN_5 Mon Night Nurse
HN_5 Tue Night Nurse
HN_5 Wed Night Nurse
HN_6 Mon Night HeadNurse
HN_6 Tue Night Nurse
HN_6 Wed Night HeadNurse
HN_6 Thu Night HeadNurse
HN_7 Wed Night Nurse
HN_7 Thu Night Nurse
HN_7 Fri Night HeadNurse
HN_7 Sat Night HeadNurse
HN_7 Sun Night HeadNurse
HN_8 Wed Day HeadNurse
HN_8 Thu Day Nurse
HN_8 Fri Late Nurse
HN_8 Sat Late Nurse
HN_8 Sun Late HeadNurse
HN_9 Tue Late HeadNurse
HN_9 Wed Late HeadNurse
HN_9 Thu Late HeadNurse
HN_10 Wed Day HeadNurse
HN_10 Thu Day Nurse
HN_10 Fri Day Nurse
HN_10 Sat Day Nurse
HN_10 Sun Early HeadNurse
HN_11 Mon Day HeadNurse
HN_11 Tue Day Nurse
HN_11 Fri Day Nurse
HN_11 Sat Day HeadNurse
HN_11 Sun Day HeadNurse
HN_12 Mon Day HeadNurse
HN_13 Mon Day Nurse
HN_13 Tue Day Nurse
HN_13 Wed Late HeadNurse
HN_13 Thu Late Nurse
HN_14 Thu Day HeadNurse
HN_14 Fri Day Nurse
HN_14 Sat Early Nurse
HN_14 Sun Early Nurse
HN_15 Mon Night HeadNurse
HN_15 Tue Night HeadNurse
HN_15 Wed Night HeadNurse
HN_16 Mon Night Nurse
HN_16 Tue Night Nurse
HN_16 Fri Early Nurse
HN_16 Sat Early Nurse
HN_16 Sun Day HeadNurse
HN_17 Sat Late Nurse
HN_17 Sun Late HeadNurse
HN_18 Wed Late Nurse
HN_18 Thu Late Nurse
HN_18 Fri Late Nurse
HN_19 Tue Day Nurse
HN_19 Wed Day Nurse
HN_19 Thu Day HeadNurse
HN_19 Fri Day HeadNurse
NU_20 Mon Late Nurse
NU_21 Mon Early Caretaker
NU_21 Wed Early Caretaker
NU_21 Thu Early Caretaker
NU_21 Fri Early Nurse
NU_22 Wed Day Nurse
NU_22 Thu Day Nurse
NU_22 Fri Day Caretaker
NU_23 Mon Early Nurse
NU_23 Tue Early Caretaker
NU_23 Wed Early Nurse
NU_23 Thu Early Caretaker
NU_24 Tue Late Caretaker
NU_24 Wed Late Caretaker
NU_24 Thu Late Caretaker
NU_25 Mon Late Caretaker
NU_25 Tue Late Nurse
NU_25 Wed Late Caretaker
NU_26 Mon Early Caretaker
NU_26 Tue Early Caretaker
