SOLUTION
3 n070w4

ASSIGNMENTS = 319
HN_0 Mon Night Nurse
HN_0 Tue Night HeadNurse
HN_0 Wed Night HeadNurse
HN_0 Thu Night Nurse
HN_0 Fri Night Nurse
HN_1 Mon Night HeadNurse
HN_1 Tue Night Nurse
HN_2 Thu Early HeadNurse
HN_2 Fri Early Nurse
HN_2 Sat Early HeadNurse
HN_2 Sun Late HeadNurse
HN_3 Mon Day HeadNurse
HN_3 Tue Day Nurse
HN_3 Wed Day HeadNurse
HN_3 Thu Day HeadNurse
HN_3 Fri Day HeadNurse
HN_4 Tue Day HeadNurse
HN_4 Wed Day Nurse
HN_4 Thu Night Nurse
HN_4 Fri Night HeadNurse
HN_5 Wed Late HeadNurse
HN_5 Thu Late Nurse
HN_5 Fri Late HeadNurse
HN_6 Mon Early Nurse
HN_6 Tue Early Nurse
HN_6 Wed Early Nurse
HN_6 Sat Late HeadNurse
HN_6 Sun Night HeadNurse
HN_7 Mon Night Nurse
HN_7 Tue Night Nurse
HN_7 Wed Night Nurse
HN_7 Thu Night HeadNurse
HN_7 Sun Early HeadNurse
NU_8 Mon Early Caretaker
NU_8 Tue Early Caretaker
NU_8 Wed Day Caretaker
NU_8 Thu Day Nurse
NU_9 Mon Late Nurse
NU_9 Tue Late Caretaker
NU_9 Wed Late Nurse
NU_9 Thu Late Caretaker
NU_9 Fri Late Caretaker
NU_10 Wed Day Caretaker
NU_10 Thu Day Nurse
NU_10 Fri Day Nurse
NU_11 Mon Early Caretaker
NU_11 Tue Early Nurse
NU_11 Wed Day Caretaker
NU_11 Sat Late Caretaker
NU_11 Sun Late Caretaker
NU_12 Mon Late Caretaker
NU_12 Wed Early Nurse
NU_12 Thu Day Caretaker
NU_12 Fri Early Caretaker
NU_12 Sat Early Nurse
NU_13 Mon Late Nurse
NU_13 Tue Late Nurse
NU_13 Wed Late Caretaker
NU_13 Sat Day Caretaker
NU_13 Sun Day Nurse
NU_14 Mon Late Nurse
NU_14 Tue Late Caretaker
NU_14 Wed Late Caretaker
NU_14 Thu Late Nurse
NU_15 Tue Late Caretaker
NU_15 Wed Late Caretaker
NU_15 Fri Day Nurse
NU_15 Sat Day Caretaker
NU_15 Sun Late Nurse
NU_16 Mon Early Caretaker
NU_16 Wed Early Caretaker
NU_16 Thu Day Nurse
NU_16 Fri Late Caretaker
NU_16 Sun Night Caretaker
NU_17 Tue Late Nurse
NU_17 Wed Late Caretaker
NU_17 Thu Night Caretaker
NU_17 Fri Night Caretaker
NU_17 Sat Night Nurse
NU_17 Sun Night Caretaker
NU_18 Mon Night Nurse
NU_18 Thu Night Caretaker
NU_18 Sat Late Nurse
NU_18 Sun Night Nurse
NU_19 Wed Day Caretaker
NU_19 Thu Early Nurse
NU_19 Fri Early Caretaker
NU_19 Sat Early Caretaker
NU_19 Sun Night Caretaker
NU_20 Mon Late Caretaker
NU_20 Tue Night Caretaker
NU_20 Wed Night Nurse
NU_20 Thu Night Caretaker
NU_20 Sat Day Nurse
NU_20 Sun Day Nurse
NU_21 Mon Day Caretaker
NU_21 Tue Early Caretaker
NU_21 Wed Day Nurse
NU_21 Thu Early Caretaker
NU_22 Mon Day Nurse
NU_22 Tue Day Nurse
NU_22 Wed Early Nurse
NU_22 Thu Late Caretaker
NU_22 Sat Day Nurse
NU_22 Sun Early Nurse
NU_23 Mon Late Caretaker
NU_23 Tue Late Nurse
NU_23 Wed Late Caretaker
NU_23 Thu Late Nurse
NU_23 Fri Late Caretaker
NU_23 Sun Day Nurse
NU_24 Mon Early Caretaker
NU_24 Tue Night Nurse
NU_24 Wed Night Nurse
NU_24 Thu Night Nurse
NU_24 Fri Night Caretaker
NU_25 Tue Early Caretaker
NU_25 Wed Day Nurse
NU_25 Thu Day Caretaker
NU_25 Fri Day Caretaker
NU_26 Tue Early Caretaker
NU_26 Wed Early Nurse
NU_26 Thu Day Caretaker
NU_26 Fri Early Nurse
NU_26 Sat Early Nurse
NU_26 Sun Late Nurse
NU_27 Mon Early Nurse
NU_27 Tue Early Nurse
NU_27 Wed Early Nurse
NU_27 Thu Day Caretaker
NU_27 Fri Late Nurse
NU_27 Sun Late Caretaker
NU_28 Wed Early Caretaker
NU_28 Thu Late Caretaker
NU_28 Sun Late Nurse
NU_29 Tue Late Nurse
NU_29 Wed Late Caretaker
NU_29 Fri Late Nurse
NU_29 Sun Early Nurse
NU_30 Wed Day Nurse
NU_30 Fri Early Nurse
NU_30 Sat Early Nurse
NU_30 Sun Early Caretaker
NU_31 Mon Late Caretaker
NU_31 Wed Early Caretaker
NU_31 Thu Day Caretaker
NU_31 Fri Day Caretaker
NU_31 Sat Early Nurse
NU_32 Wed Late Nurse
NU_32 Thu Late Caretaker
NU_32 Fri Late Nurse
NU_32 Sat Late Nurse
NU_32 Sun Night Caretaker
NU_33 Tue Early Caretaker
NU_33 Thu Day Nurse
NU_33 Fri Day Caretaker
NU_33 Sat Late Nurse
NU_33 Sun Late Nurse
NU_34 Mon Late Nurse
NU_34 Thu Day Caretaker
NU_34 Fri Day Nurse
NU_34 Sat Day Nurse
NU_34 Sun Night Caretaker
NU_35 Mon Late Caretaker
NU_35 Wed Late Caretaker
NU_35 Thu Late Caretaker
NU_35 Fri Late Nurse
NU_35 Sat Night Nurse
NU_35 Sun Night Nurse
NU_36 Mon Day Nurse
NU_36 Thu Night Caretaker
NU_36 Fri Night Caretaker
NU_36 Sat Night Caretaker
NU_36 Sun Night Caretaker
NU_37 Tue Day Nurse
NU_37 Wed Late Nurse
NU_37 Thu Late Nurse
NU_37 Sat Day Caretaker
NU_37 Sun Day Nurse
NU_38 Mon Day Caretaker
NU_38 Tue Day Nurse
NU_38 Wed Day Nurse
NU_38 Thu Early Caretaker
NU_38 Fri Day Nurse
NU_38 Sun Day Nurse
NU_39 Wed Night Caretaker
NU_39 Thu Night Nurse
NU_39 Sat Day Caretaker
CT_40 Wed Late Caretaker
CT_40 Thu Late Caretaker
CT_40 Fri Night Caretaker
CT_40 Sat Night Caretaker
CT_40 Sun Night Caretaker
CT_41 Mon Night Caretaker
CT_41 Wed Early Caretaker
