SOLUTION
6 n070w8

ASSIGNMENTS = 253
HN_0 Mon Day Nurse
HN_0 Tue Day Nurse
HN_0 Wed Day HeadNurse
HN_0 Sat Early HeadNurse
HN_0 Sun Early HeadNurse
HN_1 Tue Early Nurse
HN_1 Wed Early HeadNurse
HN_1 Thu Early Nurse
HN_1 Fri Late Nurse
HN_1 Sat Late Nurse
HN_1 Sun Late HeadNurse
HN_2 Mon Early HeadNurse
HN_2 Tue Early Nurse
HN_2 Wed Day Nurse
HN_2 Thu Day Nurse
HN_3 Wed Night HeadNurse
HN_3 Thu Night HeadNurse
HN_3 Fri Night Nurse
HN_4 Thu Night Nurse
HN_4 Fri Night HeadNurse
HN_5 Wed Early Nurse
HN_5 Thu Early Nurse
HN_5 Fri Early Nurse
HN_6 Mon Late Nurse
HN_6 Tue Late Nurse
HN_7 Mon Day HeadNurse
HN_7 Tue Day HeadNurse
HN_7 Fri Night Nurse
HN_7 Sat Night HeadNurse
HN_7 Sun Night HeadNurse
NU_8 Mon Late Caretaker
NU_8 Tue Late Caretaker
NU_8 Wed Late Nurse
NU_8 Thu Late Caretaker
NU_8 Fri Late Caretaker
NU_9 Wed Late Nurse
NU_9 Thu Late Caretaker
NU_9 Fri Late Nurse
NU_9 Sat Late Nurse
NU_9 Sun Late Nurse
NU_10 Mon Day Caretaker
NU_10 Tue Day Nurse
NU_10 Wed Day Caretaker
NU_11 Wed Day Nurse
NU_11 Thu Day Caretaker
NU_11 Fri Day Caretaker
NU_12 Mon Early Nurse
NU_12 Tue Early Caretaker
NU_13 Mon Day Nurse
NU_14 Wed Night Nurse
NU_14 Thu Night Caretaker
NU_14 Fri Night Nurse
NU_15 Wed Day Caretaker
NU_15 Thu Day Nurse
NU_15 Fri Day Caretaker
NU_16 Mon Early Caretaker
NU_16 Tue Early Caretaker
NU_16 Wed Early Nurse
NU_16 Sat Early Caretaker
NU_16 Sun Early Caretaker
NU_17 Mon Night Nurse
NU_17 Tue Night Nurse
NU_17 Wed Night Caretaker
NU_17 Thu Night Nurse
NU_17 Fri Night Caretaker
NU_18 Mon Early Nurse
NU_18 Thu Night Caretaker
NU_18 Fri Night Caretaker
NU_18 Sat Night Nurse
NU_18 Sun Night Caretaker
NU_19 Wed Day Caretaker
NU_19 Thu Day Caretaker
NU_19 Fri Day Nurse
NU_20 Tue Night Nurse
NU_20 Wed Night Caretaker
NU_20 Thu Night Caretaker
NU_20 Fri Night Nurse
NU_21 Wed Late Caretaker
NU_21 Thu Late Nurse
NU_21 Fri Late Caretaker
NU_22 Mon Early Caretaker
NU_22 Tue Early Nurse
NU_22 Wed Early Caretaker
NU_22 Thu Early Caretaker
NU_23 Tue Day Caretaker
NU_23 Wed Day Nurse
NU_23 Thu Day Nurse
NU_23 Fri Day Nurse
NU_24 Mon Late Caretaker
NU_25 Mon Night Nurse
NU_25 Tue Night Nurse
NU_25 Wed Night Nurse
NU_25 Sat Late Caretaker
NU_25 Sun Late Nurse
NU_26 Thu Early Caretaker
NU_26 Fri Early Caretaker
NU_26 Sat Early Caretaker
NU_26 Sun Day Caretaker
NU_27 Mon Late Caretaker
NU_27 Tue Late Caretaker
NU_27 Wed Late Nurse
NU_28 Fri Early Caretaker
NU_28 Sat Early Nurse
NU_28 Sun Day Caretaker
NU_29 Mon Late Nurse
NU_29 Tue Late Caretaker
NU_29 Wed Late Caretaker
NU_29 Sat Early Caretaker
NU_29 Sun Early Nurse
NU_30 Sat Early Nurse
NU_30 Sun Early Caretaker
NU_31 Mon Night Nurse
NU_31 Tue Night Caretaker
NU_31 Sat Day Nurse
NU_31 Sun Day Caretaker
NU_32 Mon Day Caretaker
NU_32 Tue Day Nurse
NU_32 Fri Day Nurse
NU_32 Sat Day Nurse
NU_32 Sun Day Nurse
NU_33 Mon Late Caretaker
NU_33 Sat Night Nurse
NU_33 Sun Night Nurse
NU_34 Wed Early Nurse
NU_34 Thu Early Nurse
NU_34 Fri Early Caretaker
NU_35 Mon Day Nurse
NU_35 Tue Day Caretaker
NU_35 Wed Day Caretaker
NU_36 Wed Early Caretaker
NU_36 Thu Early Caretaker
NU_36 Fri Early Nurse
NU_37 Wed Early Caretaker
NU_37 Thu Early Caretaker
NU_37 Fri Early Nurse
NU_38 Mon Early Caretaker
NU_38 Tue Early Caretaker
NU_38 Wed Early Caretaker
NU_39 Mon Late Nurse
NU_39 Tue Late Nurse
NU_39 Wed Late Nurse
NU_39 Thu Late Nurse
NU_39 Fri Late Nurse
CT_40 Mon Night Caretaker
CT_40 Thu Late Caretaker
CT_40 Fri Late Caretaker
CT_40 Sat Late Caretaker
CT_40 Sun Late Caretaker
CT_41 Mon Early Caretaker
CT_41 Tue Early Caretaker
CT_41 Wed Early Caretaker
CT_41 Thu Early Caretaker
CT_42 Mon Day Caretaker
CT_42 Tue Day Caretaker
CT_43 Mon Night Caretaker
CT_43 Tue Night Caretaker
CT_43 Wed Night Caretaker
CT_43 Thu Night Caretaker
CT_43 Fri Night Caretaker
CT_44 Mon Night Caretaker
CT_44 Tue Night Caretaker
CT_44 Fri Day Caretaker
CT_44 Sat Day Caretaker
CT_44 Sun Late Caretaker
CT_45 Wed Late Caretaker
CT_45 Thu Late Caretaker
CT_45 Fri Late Caretaker
CT_45 Sat Late Caretaker
CT_45 Sun Late Caretaker
CT_46 Mon Night Caretaker
CT_46 Tue Night Caretaker
CT_46 Fri Late Caretaker
CT_46 Sat Late Caretaker
CT_46 Sun Late Caretaker
CT_47 Wed Day Caretaker
CT_47 Thu Day Caretaker
CT_47 Fri Day Caretaker
CT_48 Fri Day Caretaker
CT_48 Sat Day Caretaker
CT_48 Sun Late Caretaker
CT_49 Mon Late Caretaker
CT_49 Tue Late Caretaker
CT_50 Thu Day Caretaker
CT_50 Fri Day Caretaker
CT_50 Sat Night Caretaker
CT_50 Sun Night Caretaker
CT_51 Mon Day Caretaker
CT_51 Tue Day Caretaker
CT_52 Fri Night Caretaker
CT_52 Sat Night Caretaker
CT_52 Sun Night Caretaker
CT_53 Mon Night Caretaker
CT_53 Tue Night Caretaker
CT_53 Wed Night Caretaker
CT_53 Thu Night Caretaker
CT_54 Mon Early Caretaker
CT_54 Tue Early Caretaker
CT_54 Wed Day Caretaker
CT_54 Thu Day Caretaker
CT_54 Fri Day Caretaker
CT_55 Wed Late Caretaker
CT_55 Thu Late Caretaker
CT_55 Fri Late Caretaker
CT_56 Mon Day Caretaker
CT_56 Tue Day Caretaker
CT_56 Wed Night Caretaker
CT_56 Thu Night Caretaker
CT_56 Fri Night Caretaker
CT_57 Tue Late Caretaker
CT_57 Wed Late Caretaker
CT_57 Thu Late Caretaker
CT_58 Fri Early Caretaker
CT_58 Sat Early Caretaker
CT_58 Sun Early Caretaker
CT_59 Mon Day Caretaker
CT_59 Tue Day Caretaker
CT_59 Wed Early Caretaker
CT_59 Thu Early Caretaker
TR_60 Mon Early Trainee
TR_60 Tue Early Trainee
TR_60 Wed Day Trainee
TR_60 Thu Day Trainee
TR_61 Tue Day Trainee
TR_61 Wed Day Trainee
TR_61 Thu Day Trainee
TR_62 Mon Late Trainee
TR_62 Thu Night Trainee
TR_62 Fri Night Trainee
TR_62 Sat Night Trainee
TR_62 Sun Night Trainee
TR_63 Wed Early Trainee
TR_63 Thu Early Trainee
TR_63 Fri Early Trainee
TR_64 Tue Day Trainee
TR_64 Wed Day Trainee
TR_64 Thu Day Trainee
TR_65 Mon Night Trainee
TR_65 Tue Night Trainee
TR_65 Wed Night Trainee
TR_66 Mon Early Trainee
TR_66 Tue Early Trainee
TR_66 Wed Late Trainee
TR_66 Thu Late Trainee
TR_66 Fri Late Trainee
TR_67 Wed Early Trainee
TR_67 Thu Early Trainee
TR_67 Fri Day Trainee
TR_67 Sat Day Trainee
TR_67 Sun Late Trainee
TR_68 Mon Early Trainee
TR_69 Mon Late Trainee
TR_69 Tue Late Trainee
TR_69 Wed Late Trainee

