SOLUTION
0 n070w4

ASSIGNMENTS = 328
HN_0 Mon Late HeadNurse
HN_0 Tue Late Nurse
HN_0 Wed Night HeadNurse
HN_0 Fri Early Nurse
HN_0 Sat Early HeadNurse
HN_0 Sun Early HeadNurse
HN_1 Mon Night HeadNurse
HN_1 Tue Night HeadNurse
HN_1 Fri Early HeadNurse
HN_1 Sat Late Nurse
HN_1 Sun Late HeadNurse
HN_2 Wed Night Nurse
HN_2 Thu Night HeadNurse
HN_2 Fri Night Nurse
HN_2 Sat Night HeadNurse
HN_2 Sun Night HeadNurse
HN_3 Fri Night Nurse
HN_3 Sat Night HeadNurse
HN_3 Sun Night HeadNurse
HN_4 Tue Day Nurse
HN_4 Wed Day HeadNurse
HN_4 Thu Day Nurse
HN_4 Fri Day Nurse
HN_4 Sat Day HeadNurse
HN_5 Mon Early HeadNurse
HN_5 Tue Early HeadNurse
HN_5 Wed Early HeadNurse
HN_6 Mon Day Nurse
HN_6 Tue Day Nurse
HN_6 Wed Late Nurse
HN_6 Thu Late HeadNurse
HN_6 Fri Late Nurse
HN_7 Mon Late Nurse
HN_7 Tue Late HeadNurse
HN_7 Wed Late HeadNurse
HN_7 Fri Day HeadNurse
HN_7 Sat Day HeadNurse
HN_7 Sun Day HeadNurse
NU_8 Mon Day Nurse
NU_8 Tue Day Nurse
NU_8 Wed Early Caretaker
NU_8 Thu Early Caretaker
NU_9 Wed Day Nurse
NU_9 Thu Day Caretaker
NU_9 Fri Day Caretaker
NU_10 Mon Late Caretaker
NU_10 Tue Late Caretaker
NU_10 Wed Night Caretaker
NU_10 Thu Night Caretaker
NU_10 Fri Night Nurse
NU_11 Mon Night Caretaker
NU_11 Tue Night Nurse
NU_11 Thu Late Caretaker
NU_11 Fri Late Nurse
NU_12 Tue Day Nurse
NU_12 Wed Early Nurse
NU_12 Thu Early Caretaker
NU_12 Sat Day Nurse
NU_12 Sun Day Caretaker
NU_13 Thu Night Nurse
NU_13 Fri Night Caretaker
NU_13 Sat Night Nurse
NU_14 Mon Early Nurse
NU_14 Wed Late Caretaker
NU_14 Thu Late Caretaker
NU_14 Sat Early Caretaker
NU_14 Sun Early Nurse
NU_15 Mon Late Caretaker
NU_15 Tue Late Nurse
NU_15 Wed Late Nurse
NU_15 Thu Late Nurse
NU_15 Sat Day Nurse
NU_15 Sun Day Nurse
NU_16 Mon Early Nurse
NU_16 Wed Early Nurse
NU_16 Thu Early Nurse
NU_16 Fri Day Nurse
NU_16 Sat Day Nurse
NU_17 Tue Early Nurse
NU_17 Wed Early Nurse
