SOLUTION
3 n035w8

ASSIGNMENTS = 143
HN_0 Mon Early Nurse
HN_0 Tue Early Caretaker
HN_0 Wed Early Nurse
HN_0 Thu Early HeadNurse
HN_1 Mon Night Nurse
HN_1 Tue Night Nurse
HN_1 Wed Night Caretaker
HN_1 Thu Night Nurse
HN_2 Mon Day Caretaker
HN_2 Tue Day Nurse
HN_2 Fri Early Caretaker
HN_2 Sat Early HeadNurse
HN_2 Sun Early HeadNurse
HN_3 Mon Night HeadNurse
HN_3 Fri Early Caretaker
HN_3 Sat Early Nurse
HN_3 Sun Day Nurse
HN_4 Mon Late HeadNurse
HN_4 Tue Late HeadNurse
HN_4 Wed Late HeadNurse
HN_4 Sun Late HeadNurse
HN_5 Mon Early HeadNurse
HN_5 Tue Early Nurse
HN_5 Wed Day Nurse
HN_5 Thu Day HeadNurse
NU_6 Wed Early Caretaker
NU_6 Thu Early Nurse
NU_6 Fri Night Caretaker
NU_6 Sat Night Caretaker
NU_6 Sun Night Caretaker
NU_7 Wed Night Nurse
NU_7 Thu Night Nurse
NU_7 Fri Night Nurse
NU_8 Fri Day Caretaker
NU_8 Sat Day Nurse
NU_8 Sun Day Nurse
NU_9 Mon Late Nurse
NU_9 Tue Late Nurse
NU_9 Wed Late Caretaker
NU_9 Sun Day Caretaker
NU_10 Mon Night Caretaker
NU_10 Thu Day Nurse
NU_10 Fri Day Nurse
NU_10 Sat Early Caretaker
NU_10 Sun Early Caretaker
NU_11 Mon Day Caretaker
NU_11 Tue Day Caretaker
NU_11 Wed Day Caretaker
NU_11 Sat Night Nurse
NU_11 Sun Night Nurse
NU_12 Thu Early Caretaker
NU_12 Fri Early Nurse
NU_12 Sat Late Caretaker
NU_12 Sun Late Nurse
NU_13 Thu Late Nurse
NU_13 Fri Late Nurse
NU_13 Sat Late Nurse
NU_14 Mon Late Caretaker
NU_14 Tue Late Caretaker
NU_14 Wed Late Nurse
NU_14 Thu Late Nurse
NU_14 Fri Late Caretaker
NU_15 Mon Day Nurse
NU_15 Tue Day Caretaker
NU_15 Wed Day Caretaker
NU_15 Sat Early Caretaker
NU_15 Sun Early Nurse
NU_16 Mon Early Caretaker
NU_16 Tue Early Nurse
NU_16 Wed Early Nurse
NU_16 Sun Late Nurse
CT_17 Tue Early Caretaker
CT_17 Wed Early Caretaker
CT_17 Thu Early Caretaker
CT_17 Fri Early Caretaker
CT_18 Mon Day Caretaker
CT_18 Tue Day Caretaker
CT_18 Wed Day Caretaker
CT_19 Wed Day Caretaker
CT_19 Thu Day Caretaker
CT_19 Fri Day Caretaker
CT_20 Mon Night Caretaker
CT_20 Tue Night Caretaker
CT_20 Wed Night Caretaker
CT_20 Thu Night Caretaker
CT_21 Wed Day Caretaker
CT_21 Thu Day Caretaker
CT_21 Fri Day Caretaker
CT_22 Mon Early Caretaker
CT_22 Tue Early Caretaker
CT_22 Fri Late Caretaker
CT_22 Sat Late Caretaker
CT_22 Sun Late Caretaker
CT_23 Wed Early Caretaker
CT_23 Thu Early Caretaker
CT_23 Fri Early Caretaker
CT_23 Sat Day Caretaker
CT_23 Sun Day Caretaker
CT_24 Wed Night Caretaker
CT_24 Thu Night Caretaker
CT_24 Fri Night Caretaker
CT_25 Tue Late Caretaker
CT_25 Wed Late Caretaker
CT_25 Thu Late Caretaker
CT_26 Mon Day Caretaker
CT_26 Tue Day Caretaker
CT_26 Wed Late Caretaker
CT_26 Thu Late Caretaker
CT_27 Tue Early Caretaker
CT_27 Wed Early Caretaker
CT_27 Thu Late Caretaker
CT_27 Fri Late Caretaker
CT_28 Mon Night Caretaker
CT_28 Tue Night Caretaker
CT_28 Wed Night Caretaker
CT_28 Thu Night Caretaker
CT_28 Fri Night Caretaker
TR_29 Tue Early Trainee
TR_29 Wed Early Trainee
TR_29 Thu Early Trainee
TR_29 Fri Late Trainee
TR_29 Sat Late Trainee
TR_29 Sun Late Trainee
TR_30 Fri Early Trainee
TR_30 Sat Early Trainee
TR_30 Sun Early Trainee
TR_31 Mon Late Trainee
TR_31 Tue Late Trainee
TR_31 Fri Night Trainee
TR_31 Sat Night Trainee
TR_31 Sun Night Trainee
TR_32 Mon Day Trainee
TR_32 Fri Day Trainee
TR_32 Sat Day Trainee
TR_32 Sun Day Trainee
TR_33 Mon Early Trainee
TR_33 Tue Early Trainee
TR_33 Wed Late Trainee
TR_33 Thu Late Trainee
TR_34 Mon Night Trainee
TR_34 Tue Night Trainee
TR_34 Wed Night Trainee
TR_34 Thu Night Trainee

