SOLUTION
3 n035w4

ASSIGNMENTS = 136
HN_0 Mon Day HeadNurse
HN_0 Tue Day Caretaker
HN_0 Wed Day Nurse
HN_1 Mon Night Caretaker
HN_1 Tue Night HeadNurse
HN_1 Wed Night Caretaker
HN_1 Thu Night Nurse
HN_2 Mon Early HeadNurse
HN_2 Tue Early HeadNurse
HN_2 Wed Early Nurse
HN_2 Thu Early HeadNurse
HN_2 Fri Early Nurse
HN_3 Fri Late Nurse
HN_3 Sat Late Nurse
HN_3 Sun Late Nurse
HN_4 Mon Late Nurse
HN_4 Tue Late Caretaker
HN_4 Wed Late HeadNurse
HN_4 Thu Late Nurse
HN_4 Sat Day Nurse
HN_4 Sun Day Nurse
HN_5 Tue Night HeadNurse
HN_5 Wed Night Nurse
HN_5 Thu Night Caretaker
HN_5 Fri Night Caretaker
NU_6 Mon Night Caretaker
NU_6 Tue Night Nurse
NU_7 Mon Day Nurse
NU_7 Thu Early Nurse
NU_7 Fri Early Nurse
NU_7 Sat Early Nurse
NU_7 Sun Early Nurse
NU_8 Mon Night Caretaker
NU_8 Tue Night Caretaker
NU_8 Wed Night Caretaker
NU_8 Sat Early Caretaker
NU_8 Sun Early Caretaker
NU_9 Mon Night Caretaker
NU_9 Tue Night Caretaker
NU_9 Wed Night Caretaker
NU_9 Thu Night Caretaker
NU_9 Fri Night Caretaker
NU_10 Sat Day Caretaker
NU_10 Sun Day Caretaker
NU_11 Mon Early Caretaker
NU_11 Tue Early Nurse
NU_11 Wed Early Nurse
NU_12 Sat Early Caretaker
NU_12 Sun Early Caretaker
NU_13 Mon Early Nurse
NU_13 Tue Early Caretaker
NU_13 Wed Early Caretaker
NU_13 Thu Early Nurse
NU_13 Fri Early Caretaker
NU_14 Tue Day Nurse
NU_14 Wed Day Caretaker
NU_14 Thu Day Nurse
NU_14 Fri Day Nurse
NU_15 Mon Late Nurse
NU_15 Tue Late Nurse
NU_15 Wed Late Nurse
NU_16 Mon Night Nurse
NU_16 Tue Night Caretaker
NU_16 Wed Night Nurse
NU_16 Fri Night Nurse
NU_16 Sat Night Nurse
NU_16 Sun Night Nurse
CT_17 Tue Early Caretaker
CT_17 Wed Early Caretaker
CT_17 Thu Early Caretaker
CT_17 Fri Early Caretaker
CT_18 Mon Early Caretaker
CT_18 Tue Early Caretaker
CT_18 Fri Night Caretaker
CT_18 Sat Night Caretaker
CT_18 Sun Night Caretaker
CT_19 Mon Late Caretaker
CT_19 Tue Night Caretaker
CT_20 Mon Day Caretaker
CT_20 Tue Day Caretaker
CT_20 Wed Day Caretaker
CT_20 Thu Day Caretaker
CT_20 Fri Day Caretaker
CT_21 Wed Early Caretaker
CT_21 Thu Early Caretaker
CT_21 Fri Early Caretaker
CT_22 Tue Day Caretaker
CT_22 Wed Day Caretaker
CT_22 Thu Day Caretaker
CT_23 Wed Late Caretaker
CT_23 Thu Late Caretaker
CT_23 Fri Late Caretaker
CT_24 Thu Late Caretaker
CT_24 Fri Late Caretaker
CT_25 Mon Day Caretaker
CT_25 Tue Day Caretaker
CT_25 Wed Day Caretaker
CT_25 Fri Late Caretaker
CT_25 Sat Late Caretaker
CT_25 Sun Night Caretaker
CT_26 Tue Day Caretaker
CT_26 Wed Day Caretaker
CT_26 Thu Day Caretaker
CT_26 Fri Day Caretaker
CT_27 Wed Late Caretaker
CT_27 Thu Late Caretaker
CT_27 Fri Late Caretaker
CT_28 Mon Late Caretaker
CT_28 Tue Late Caretaker
CT_28 Wed Late Caretaker
TR_29 Mon Day Trainee
TR_29 Tue Day Trainee
TR_29 Wed Night Trainee
TR_29 Thu Night Trainee
TR_29 Fri Night Trainee
TR_30 Mon Early Trainee
TR_30 Tue Early Trainee
TR_30 Wed Early Trainee
TR_30 Thu Early Trainee
TR_30 Fri Early Trainee
TR_31 Wed Late Trainee
TR_31 Thu Late Trainee
TR_31 Fri Night Trainee
TR_31 Sat Night Trainee
TR_31 Sun Night Trainee
TR_32 Wed Day Trainee
TR_32 Thu Day Trainee
TR_32 Fri Day Trainee
TR_33 Mon Late Trainee
TR_33 Tue Late Trainee
TR_33 Fri Early Trainee
TR_33 Sat Early Trainee
TR_33 Sun Late Trainee
TR_34 Mon Day Trainee
TR_34 Sat Day Trainee
TR_34 Sun Day Trainee

